New outlets created:
Row 1: URN=DCP/25/LO/002324, Name=ALL FOR GOD, Region=LO/OGUN
Row 42: URN=DCP/19/LO/002306, Name=MR, OLADIPUPO CEMENT STORE, Region=LO/OGUN
Row 43: URN=DCP/19/LO/002309, Name=BABA DANGOTE CEMENT STORE, Region=LO/OGUN
Row 44: URN=DCP/25/LO/004066, Name=IYA IBO CEMENT STORE, Region=LO/OGUN
Row 45: URN=DCP/19/LO/002315, Name=ALHAJA BELLO CEMENT, Region=LO/OGUN
Row 46: URN=DCP/25/LO/004071, Name=MRS ADELAJA CEMENT STORE, Region=LO/OGUN
Row 47: URN=DCP/19/LO/002312, Name=MRS BADA CEMENT STORES, Region=LO/OGUN
Row 48: URN=DCP/24/LO/001345, Name=OMO-OWO CEMENT, Region=LO/OGUN
Row 49: URN=DCP/24/LO/001347, Name=SHAKUR CEMENT, Region=LO/OGUN
Row 50: URN=DCP/24/LO/001374, Name=UNCLE ABBEY CEMENT, Region=LO/OGUN
Row 51: URN=DCP/19/LO/002762, Name=JOSSID GLOBAL SERVICE, Region=LO/OGUN
Row 52: URN=DCP/19/LO/002817, Name=GOD IS GOOD CEMENT, Region=LO/OGUN
Row 53: URN=DCP/24/LO/001353, Name=OLUSHOLA CEMENT, Region=LO/OGUN
Row 56: URN=DCP/19/LO/002763, Name=ISIAKA BAKARE CEMENT, Region=LO/OGUN
Row 57: URN=DCP/19/LO/002845, Name=HIS GRACE CEMENT, Region=LO/OGUN
Row 58: URN=DCP/19/LO/002758, Name=DAOLEZ CEMENT, Region=LO/OGUN
Row 59: URN=DCP/25/LO/004736, Name=OLUFEMI CEMENT, Region=LO/OGUN
Row 60: URN=DCP/19/LO/002816, Name=IBUKUNOLUWA CEMENT, Region=LO/OGUN
Row 61: URN=DCP/25/LO/002824, Name=NOBLE HMA, Region=LO/OGUN
Row 65: URN=DCP/24/LO/000509, Name=KS SUCCESS, Region=LO/OGUN
Row 67: URN=DCP/24/LO/00450, Name=SHALOG BLOCK INDUSTRY, Region=LO/OGUN
Row 68: URN=DCP/19/LO/009766, Name=MR WASIU OYELAMI I, Region=LO
Row 69: URN=DCP/19/LO/009767, Name=MR WASIU OYELAMI II, Region=LO
Row 70: URN=DCP/19/LO/009768, Name=MRS AKINRIWALE, Region=LO
Row 71: URN=DCP/19/LO/009859, Name=MR HAMMED BADMUS, Region=LO
Row 72: URN=DCP/19/LO/009770, Name=MRS BELLO I, Region=LO
Row 73: URN=DCP/19/LO/009771, Name=MRS BELLO 2, Region=LO
Row 74: URN=DCP/19/LO/009773, Name=MRS OLAAJE, Region=LO
Row 75: URN=DCP/24/LO/001385, Name=MRS OLUREBI, Region=LO
Row 76: URN=DCP/19/LO/000750, Name=MRS ISHOLA, Region=LO
Row 77: URN=DCP/24/LO/001386, Name=MR WASIU OYELAMI IV, Region=LO
Row 78: URN=DCP/19/LO/009780, Name=MR TAIWO FAJANA, Region=LO
Row 80: URN=DCP/19/LO/002874, Name=MR FALAYI GBENGA, Region=LO
Row 81: URN=DCP/24/LO/001388, Name=MRS BELLO iii, Region=LO
Row 82: URN=DCP/23/LO/000016, Name=MRS KUTELU, Region=LO
Row 83: URN=DCP/24/LO/001390, Name=MR DAUD OGUNYOMI, Region=LO
Row 84: URN=DCP/19/LO/009769, Name=MR BABATUNDE ADEBAYO, Region=LO
Row 85: URN=DCP/24/LO/001391, Name=MR WASIU OYELAMI III, Region=LO
Row 86: URN=DCP/24/LO/001392, Name=MR SOLIU, Region=LO
Row 87: URN=DCP/24/LO/001393, Name=MRS OSUNGBADE, Region=LO
Row 89: URN=DCP/24/LO/001395, Name=MRS BELLO TOYIN, Region=LO
Row 92: URN=DCP/24/LO/000768, Name=MRS CHRISTIANA IYOHA, Region=LO
Row 93: URN=DCP/24/LO/001399, Name=MRS KUTELU OYETOWU, Region=LO
Row 94: URN=DCP/24/LO/002062, Name=MR OLAJIDE SANUSI, Region=LO
Row 95: URN=DCP/23/LO/000824, Name=MR FOLABI MATINS, Region=LO
Row 96: URN=DCP/24/LO/002006, Name=MR ALANI AREMU, Region=LO
Row 97: URN=DCP/19/LO/009784, Name=MRS. ORILONISE, Region=LO
Row 98: URN=DCP/19/LO/009787, Name=ALHAJA LATEEFAT HAMZAT, Region=LO
Row 99: URN=DCP/24/LO/001402, Name=MRS. MAKANJUOLA, Region=LO
Row 100: URN=DCP/24/LO/001403, Name=MR IBIKUNLE, Region=LO
Row 101: URN=DCP/24/LO/000174, Name=MRS JANET BABALOLA, Region=LO
Row 103: URN=DCP/19/LO/009788, Name=MR ADEWUNMI, Region=LO
Row 105: URN=DCP/24/LO/001405, Name=MR ANIMASHAUN, Region=LO
Row 106: URN=DCP/23/LO/000565, Name=MRS ADEBAYO, Region=LO
Row 107: URN=DCP/19/LO/009798, Name=MRS BOLA OLADENI, Region=LO
Row 108: URN=DCP/19/LO/009795, Name=MR OGUNFOLAJI, Region=LO
Row 109: URN=DCP/25/LO/002837, Name=MR PETER ADEYEMI, Region=LO
Row 110: URN=DCP/23/LO/000785, Name=ALHAJI MODIU BELLO, Region=LO
Row 111: URN=DCP/24/LO/001408, Name=MRS AYOKANMI, Region=LO
Row 112: URN=DCP/24/LO/001409, Name=MR AKEEM LAWAL, Region=LO
Row 113: URN=DCP/19/LO/009799, Name=MR OLUBAKIN, Region=LO
Row 114: URN=DCP/19/LO/009792, Name=MRS OKESOLA, Region=LO
Row 115: URN=DCP/24/LO/001410, Name=MRS BABATUNDE, Region=LO
Row 116: URN=DCP/24/LO/000234, Name=MR OLAYIWOLA OGUNJOBI, Region=LO
Row 117: URN=DCP/24/LO/001412, Name=MRS SHORINMADE, Region=LO
Row 118: URN=DCP/19/LO/000780, Name=MRS ADEDEJI, Region=LO
Row 119: URN=DCP/24/LO/001413, Name=MR BABATUNDE OLUWAFEMI, Region=LO
Row 121: URN=DCP/24/LO/001414, Name=MRS SALAUDEEN, Region=LO
Row 122: URN=DCP/19/LO/009831, Name=MRS AJAYI ANUOLUWAPO, Region=LO
Row 123: URN=DCP/19/LO/009821, Name=MR OGUNSHIJI OLAREMI, Region=LO
Row 124: URN=DCP/19/LO/009820, Name=PASTOR OLAFARE MOSES, Region=LO
Row 125: URN=DCP/19/LO/009834, Name=MRS OLAGUNJU, Region=LO
Row 126: URN=DCP/19/LO/009835, Name=MRS ADEBOWALE, Region=LO
Row 127: URN=DCP/19/LO/009866, Name=MRS YUSUF, Region=LO
Row 130: URN=DCP/24/LO/001415, Name=MRS ADENIJI, Region=LO
Row 131: URN=DCP/19/LO/009826, Name=MR RASHEED ABIODUN, Region=LO
Row 132: URN=DCP/19/LO/009818, Name=MRS RASAQ, Region=LO
Row 133: URN=DCP/19/LO/009819, Name=PASTOR JOHN EYE 1, Region=LO
Row 134: URN=DCP/19/LO/009824, Name=PASTOR JOHN EYE 2, Region=LO
Row 135: URN=DCP/24/LO/001416, Name=IYA ROFIYAT, Region=LO
Row 136: URN=DCP/19/LO/009837, Name=MRS AKINFEWA, Region=LO
Row 137: URN=DCP/19/LO/009825, Name=IYA ROFIAT 1, Region=LO
Row 138: URN=DCP/24/LO/001417, Name=MRS LAWAL, Region=LO
Row 139: URN=DCP/24/LO/001418, Name=MRS SHOBADE, Region=LO
Row 140: URN=DCP/24/LO/001419, Name=MRS RABIU, Region=LO
Row 141: URN=DCP/23/LO/000787, Name=MRS LIPEDE COMFORT, Region=LO
Row 142: URN=DCP/24/LO/001421, Name=MRS DOLLY, Region=LO
Row 144: URN=DCP/24/LO/001423, Name=MR OLAJIDE AHMED AKALA, Region=LO
Row 145: URN=DCP/24/LO/000585, Name=MRS OGUNSOLA, Region=LO
Row 146: URN=DCP/19/LO/009808, Name=MR KOTOYE OLALEKAN I, Region=LO
Row 147: URN=DCP/24/LO/000662, Name=MRS FALEYE, Region=LO
Row 150: URN=DCP/19/LO/009804, Name=ALFA MODUPE, Region=LO
Row 151: URN=DCP/24/LO/001425, Name=MRS OLUKOJU, Region=LO
Row 152: URN=DCP/19/LO/009806, Name=MRS OLASUNKANMI, Region=LO
Row 153: URN=DCP/19/LO/009807, Name=MRS. OLASEINDE, Region=LO
Row 154: URN=DCP/19/LO/009813, Name=MRS OLABODE, Region=LO
Row 155: URN=DCP/24/LO/001426, Name=MR. ALIU OLASUNKANMI, Region=LO
Row 156: URN=DCP/19/LO/009814, Name=MRS BAMIDELE ODUKALE, Region=LO
Row 157: URN=DCP/19/LO/009815, Name=MRS DOSUNMU ADEBOWU, Region=LO
Row 158: URN=DCP/19/LO/002915, Name=ADEKUNLE ADENIYI, Region=LO
Row 159: URN=DCP/24/LO/001427, Name=MR LATEEF SULIAMON, Region=LO
Row 160: URN=DCP/19/LO/009863, Name=MR OKE AKANJI, Region=LO
Row 162: URN=DCP/19/LO/009860, Name=MR NURUDEEN FAJIMI, Region=LO
Row 163: URN=DCP/19/LO/009861, Name=MRS AZEEZ ABOLANLE, Region=LO
Row 165: URN=DCP/24/LO/001428, Name=MRS ABIMBOLA, Region=LO
Row 166: URN=DCP/24/LO/001429, Name=MRS ANIBU, Region=LO
Row 167: URN=DCP/24/LO/001430, Name=MRS BUKAYO, Region=LO
Row 168: URN=DCP/23/LO/000685, Name=MRS JOKO ADERONKE, Region=LO
Row 169: URN=DCP/24/LO/001432, Name=MRS MERCY ODIASE, Region=LO
Row 170: URN=DCP/24/LO/001433, Name=MR HAMMED BADMUS I, Region=LO
Row 171: URN=DCP/19/LO/000826, Name=MRS TEMIOGBE, Region=LO
Row 172: URN=DCP/24/LO/001434, Name=MR A. TITILAYO, Region=LO
Row 173: URN=DCP/19/LO/009805, Name=MR MIKE ADEYA, Region=LO
Row 174: URN=DCP/24/LO/001435, Name=ALHJA OMOLOLA SAIDAT, Region=LO
Row 175: URN=DCP/25/LO/002831, Name=MR HAMMED SULIAMON ADEYEMI, Region=LO
Row 176: URN=DCP/19/LO/009812, Name=MR RASHEED OLADIPO FOLORUNSHO, Region=LO
Row 177: URN=DCP/19/LO/001186, Name=OGUNYEMI MICHAEL .K., Region=LO
Row 178: URN=DCP/24/LO/001437, Name=MRS FLORENCE ADEBIYI, Region=LO
Row 179: URN=DCP/24/LO/001438, Name=MRS ABEREIJO, Region=LO
Row 180: URN=DCP/24/LO/001439, Name=MR KOTOYE OLALEKAN, Region=LO
Row 181: URN=DCP/24/LO/001440, Name=MRS POPOOLA, Region=LO
Row 182: URN=DCP/24/LO/001441, Name=MR BAKARE OLATUNDE, Region=LO
Row 184: URN=DCP/24/LO/001442, Name=MRS ADESHINA MODINAT, Region=LO
Row 185: URN=DCP/24/LO/001443, Name=MRS BADMUS II, Region=LO
Row 186: URN=DCP/19/LO/000841, Name=MR MURITALA ADETUNJI, Region=LO
Row 187: URN=DCP/24/LO/001444, Name=MR AJIBOYE EMMANUEL, Region=LO
Row 188: URN=DCP/24/LO/001445, Name=MR RASAQ KAZEEM, Region=LO
Row 189: URN=DCP/24/LO/001446, Name=MRS FATOLA, Region=LO
Row 190: URN=DCP/24/LO/001447, Name=MRS JOKE MUHAMMED, Region=LO
Row 191: URN=DCP/24/LO/001448, Name=MRS ELEGBEDE, Region=LO
Row 192: URN=DCP/24/LO/001449, Name=MRS OLUFUNKE FAYENA, Region=LO
Row 193: URN=DCP/24/LO/001450, Name=MRS JARGO, Region=LO
Row 194: URN=DCP/24/LO/001451, Name=MRS ALLEN, Region=LO
Row 195: URN=DCP/24/LO/001452, Name=MRS ODUNSANYA, Region=LO
Row 196: URN=DCP/24/LO/001453, Name=MRS ANGELA, Region=LO
Row 197: URN=DCP/24/LO/001454, Name=MR NURU POPOOLA, Region=LO
Row 198: URN=DCP/23/LO/000754, Name=MR TAJUDEEN, Region=LO
Row 200: URN=DCP/25/LO/002727, Name=MRS AMINU ENIOLA, Region=LO
Row 201: URN=DCP/25/LO/002834, Name=MR TOHEEB OLAITAN, Region=LO
Row 202: URN=DCP/25/LO/002403, Name=MRS AJIBEWE ENITAN, Region=LO
Row 203: URN=DCP/19/LO/011724, Name=Eweje Cement, Region=LO
Row 204: URN=DCP/25/LO/002577, Name=Olakuleyin Tayo, Region=LO
Row 205: URN=DCP/24/LO/001221, Name=Ojo Cement, Region=LO
Row 206: URN=DCP/24/LO/001222, Name=Albarika Cement, Region=LO
Row 207: URN=DCP/24/LO/001236, Name=Amiru Cement, Region=LO
Row 208: URN=Dcp/19/Lo/010249, Name=Asiri Eko Cement 2, Region=LO
Row 209: URN=Dcp/19/Lo/010251, Name=Ogundare&Sons, Region=LO
Row 210: URN=DCP/23/LO/000806, Name=YA JAMIU CEMENT, Region=LO
Row 212: URN=DCP/25/LO/002578, Name=OMOGA CEMENT, Region=LO
Row 213: URN=DCP/25/LO/004661, Name=Asiri Eko Blocks Industry, Region=LO
Row 214: URN=Dcp/19/Lo/010246, Name=Imam Ahamod Cement, Region=LO
Row 215: URN=NEW  OUTLET, Name=HONE CEMENT INTERNATIONAL NIG.LTD, Region=LO
Row 216: URN=DCP/19/LO/010253, Name=IJESHA BLOCK INDUSTRY, Region=LO
Row 218: URN=Dcp/19/Lo/010257, Name=Alhaji Gani Olaleye, Region=LO
Row 219: URN=Dcp/19/Lo/010258, Name=Alahu Rahaman Block Industry, Region=LO
Row 220: URN=Dcp/19/Lo/010259, Name=Mr Mosses Popoola Cement, Region=LO
Row 221: URN=Dcp/19/Lo/010260, Name=Adeyemi Trading Store, Region=LO
Row 222: URN=Dcp/19/Lo/010262, Name=Mayowa Enterprises, Region=LO
Row 223: URN=Dcp/19/Lo/010263, Name=Mr Oketoyan, Region=LO
Row 224: URN=Dcp/19/Lo/010264, Name=Olele Cement, Region=LO
Row 225: URN=Dcp/19/Lo/010265, Name=Pepepe Cement Store, Region=LO
Row 226: URN=Dcp/19/Lo/010267, Name=Dejumo Block Industry, Region=LO
Row 227: URN=Dcp/19/Lo/010268, Name=Al Ramon Block Industry, Region=LO
Row 228: URN=Dcp/19/Lo/010270, Name=Mr Fakunle, Region=LO
Row 229: URN=DCP/24/LO/001235, Name=Jimted Cement Shop, Region=LO
Row 230: URN=DCP/24/LO/001240, Name=OGO OLUWA CEMENT, Region=LO
Row 231: URN=DCP/25/LO/002580, Name=YA WAHAB, Region=LO
Row 232: URN=DCP/25/LO/002581, Name=KEWULERE, Region=LO
Row 233: URN=DCP/25/LO/002582, Name=FASARA VENTURES, Region=LO
Row 234: URN=DCP/25/LO/002724, Name=IFEOLUWA ENTERPRISES, Region=LO
Row 235: URN=Dcp/19/Lo/002996, Name=A1 Investment, Region=LO
Row 236: URN=Dcp/19/Lo/002998, Name=Ikas Enterprises, Region=LO
Row 237: URN=Dcp/19/Lo/002999, Name=Mr Ile Labo Simi Oko, Region=LO
Row 238: URN=Dcp/19/Lo/003000, Name=No King As God, Region=LO
Row 239: URN=Dcp/19/Lo/003001, Name=Dears Nig.Ltd, Region=LO
Row 240: URN=Dcp/19/Lo/003004, Name=Alhahu Lateef Cement Store, Region=LO
Row 241: URN=Dcp/19/Lo/003005, Name=Alwajud Cement, Region=LO
Row 242: URN=Dcp/19/Lo/003006, Name=Tosang Limited, Region=LO
Row 243: URN=Dcp/19/Lo/003007, Name=Mr Akinola Waheed, Region=LO
Row 245: URN=DCP/24/LO/001245, Name=Mr Sulaiman Olanloye, Region=LO
Row 246: URN=DCP/25/LO/004743, Name=Hadilat Cement, Region=LO
Row 247: URN=DCP/25/LO/004725, Name=Adlat, Region=LO
Row 248: URN=DCP/24/LO/001238, Name=A.Y Ventures, Region=LO
Row 249: URN=DCP/24/LO/001959, Name=ALLAHU LATEEF, Region=LO
Row 250: URN=DCP/25/LO/002583, Name=YEKINI&SONS INTEGRATED SERVICES, Region=LO
Row 252: URN=DCP/24/LO/001242, Name=TOMSON COMMUNICATION, Region=LO
Row 253: URN=Dcp/19/Lo/010287, Name=Werenise Oluwa, Region=LO
Row 254: URN=Dcp/19/Lo/010288, Name=Olamike, Region=LO
Row 255: URN=Dcp/19/Lo/010289, Name=Fashion &Sons Enterprises Nig Ltd, Region=LO
Row 256: URN=Dcp/19/Lo/010290, Name=Baba Iwalesin Company, Region=LO
Row 257: URN=Dcp/19/Lo/010291, Name=Olaiya&Sons, Region=LO
Row 258: URN=Dcp/19/Lo/010295, Name=Ya-Lateef, Region=LO
Row 259: URN=Dcp/19/Lo/010296, Name=Ojasope, Region=LO
Row 260: URN=Dcp/19/Lo/010298, Name=Olaosebikan Cement, Region=LO
Row 261: URN=Dcp/19/Lo/010321, Name=Oyerinde Cement, Region=LO
Row 262: URN=Dcp/19/Lo/010322, Name=Ya-Lateef Cement, Region=LO
Row 263: URN=DCP/24/LO/001253, Name=Osfat Cement, Region=LO
Row 264: URN=DCP/25/LO/004662, Name=Agbede Cement, Region=LO
Row 265: URN=DCP/24/LO/001256, Name=Focus Cement, Region=LO
Row 266: URN=DCP/24/LO/001255, Name=MD CEMENT, Region=LO
Row 267: URN=DCP/24/LO/001258, Name=FADIPE MICHAEL, Region=LO
Row 268: URN=DCP/24/LO/001259, Name=SALAM KAOLA CEMENT, Region=LO
Row 269: URN=DCP/23/LO/000950, Name=OLA INVESTMENT COMPANY, Region=LO
Row 270: URN=DCP/25/LO/002471, Name=OJASOPE NIG.LIMITED, Region=LO
Row 271: URN=DCP/24/LO/001228, Name=MOSCHEM INTEGRATED SERVICES ENTERPRISES, Region=LO
Row 272: URN=DCP/25/LO/002584, Name=DOSUNMU VENTURES, Region=LO
Row 273: URN=DCP/25/LO/002585, Name=AJO OLOMI CEMENT, Region=LO
Row 274: URN=Dcp/19/Lo/003035, Name=Olorunosebi Cement, Region=LO
Row 275: URN=DCP/24/LO/001260, Name=Ultimate Cement, Region=LO
Row 276: URN=Dcp/19/Lo/003038, Name=F & F Cement, Region=LO
Row 277: URN=Dcp/19/Lo/003039, Name=Olajesu Global Resources, Region=LO
Row 278: URN=Dcp/19/Lo/003040, Name=Omo Oba Fash Entp., Region=LO
Row 279: URN=Dcp/19/Lo/003041, Name=Aimasiko Cement, Region=LO
Row 280: URN=DCP/24/LO/001246, Name=Ireni Temi Tie, Region=LO
Row 281: URN=Dcp/19/Lo/003044, Name=Temidire Cement, Region=LO
Row 282: URN=Dcp/19/Lo/010319, Name=Ti Oluwani Cement, Region=LO
Row 283: URN=DCP/24/LO/001262, Name=Moboluwaduro Ent., Region=LO
Row 284: URN=DCP/24/LO/001263, Name=Baba Ogbo Cement, Region=LO
Row 285: URN=DCP/24/LO/001264, Name=Kilamek Cement, Region=LO
Row 286: URN=DCP/24/LO/001261, Name=Damex Cement, Region=LO
Row 287: URN=Dcp/23/Lo/000607, Name=Tomson Communication Ltd, Region=LO
Row 289: URN=Dcp/23/Lo/000476, Name=Enty Enterprises, Region=LO
Row 290: URN=DCP/24/LO/001265, Name=OPEITA TAIWO TRADING  STORE, Region=LO
Row 291: URN=DCP/24/LO/000451, Name=ITELE BLOCK INDUSTRY, Region=LO
Row 292: URN=DCP/19/LO/000033, Name=Olas Block Industry, Region=LO
Row 293: URN=DCP/19/LO/000053, Name=ADEOKIN CEMENT, Region=LO
Row 294: URN=DCP/19/LO/011912, Name=Dacosta Cement Store, Region=LO
Row 295: URN=DCP/19/LO/000057, Name=A&J Investment Limited, Region=LO
Row 296: URN=DCP/19/LO/000029, Name=SERIFAT CEMENT STORE, Region=LO
Row 297: URN=DCP/19/LO/000060, Name=BABA GUFANTEE CEMENT &BLOCK INDUSTRY, Region=LO
Row 298: URN=DCP/25/LO/002524, Name=ALBUDULAKEEM CEMENT STORE, Region=LO
Row 299: URN=DCP/25/LO/002822, Name=LUKMAN CEMENT STORE, Region=LO
Row 300: URN=DCP/19/LO/000042, Name=HIS GRACE CEMENT STORE, Region=LO
Row 301: URN=DCP/25/LO/002521, Name=Aramaide sola cement store, Region=LO
Row 302: URN=DCP/19/LO/000035, Name=Aseyori Olabisi Cement Pallet, Region=LO
Row 303: URN=DCP/25/LO002735, Name=OJASAPE CEMENT STORE, Region=LO
Row 304: URN=DCP/19/LO/000034, Name=AKINSOLA CEMENT STORE, Region=LO
Row 305: URN=DCP/19/LO/000036, Name=AKINSOLA RAMOTALAI CEMENT STORE, Region=LO
Row 306: URN=DCP/19/LO/000062, Name=OLANIYAN SAIDAT CEMENT PALLET, Region=LO
Row 307: URN=DCP/19/LO/000063, Name=ADU-MOS NIG ENTERPRISES, Region=LO
Row 308: URN=DCP/19/LO/000064, Name=MUM KAY CEMENT STORE, Region=LO
Row 309: URN=DCP/19/LO/000065, Name=OBA ALANU CEMENT STORE, Region=LO
Row 310: URN=DCP/19/LO/000066, Name=FAMOUS CEMENT STORE, Region=LO
Row 311: URN=DCP/19/LO/000067, Name=MUM ABIODUN CEMENT STORE, Region=LO
Row 312: URN=DCP/19/LO/000068, Name=GRACE AND GLORY  1, Region=LO
Row 313: URN=DCP/19/LO/000069, Name=Abiola Mariam Cement Pallet, Region=LO
Row 314: URN=DCP/25/LO/003717, Name=Mrs Olakunle Cement pallet, Region=LO
Row 315: URN=DCP/19/LO/000052, Name=Aseyori Block Industry, Region=LO
Row 316: URN=DCP/19/LO/000040, Name=JULIET OKENEYE CEMENT STORE, Region=LO
Row 317: URN=DCP/19/LO/000051, Name=UNIQUE CEMENT STORE, Region=LO
Row 318: URN=DCP/24/LO/000210, Name=GRACE AND GLORY  2, Region=LO
Row 319: URN=DCP/19/LO/000048, Name=BABA KOSALABARO CEMENT PALLET, Region=LO
Row 320: URN=DCP/19/LO/000050, Name=LIZY MUM ROSE CEMENT STORE, Region=LO
Row 321: URN=DCP/19/LO/000452, Name=ADEOSUN CEMENT STORE, Region=LO
Row 322: URN=DCP/19,/LO/000453, Name=Royal Gate COMMERCIAL, Region=LO
Row 323: URN=DCP/25/LO/002602, Name=MRS MAKINDE FATAI CEMENT PALLET, Region=LO
Row 324: URN=DCP/19/LO/000455, Name=Afolabi Bola Cement Pallet, Region=LO
Row 325: URN=DCP/19/LO/000457, Name=Small Boy blick Industry, Region=LO
Row 326: URN=DCP/19/LO/000459, Name=Olawoyin Cement Store, Region=LO
Row 327: URN=DCP/19/LO/000461, Name=MUM FAVOUR CEMENT STORE, Region=LO
Row 328: URN=DCP/19/LO/000462, Name=MOSES CEMENT STORE, Region=LO
Row 329: URN=DCP/19/LO/000463, Name=FOLARANMI CEMENT STORE, Region=LO
Row 330: URN=DCP/19/LO/000481, Name=MERCIFUL GOD CEMENT STORE, Region=LO
Row 331: URN=DCP/24/LO/0027237, Name=omoboriowo Cement Store, Region=LO
Row 332: URN=DCP/25/LO/002736, Name=Salvation Cement Pallet, Region=LO
Row 333: URN=DCP/23/LO/000391, Name=Musa Justin Cement Store, Region=LO
Row 334: URN=DCP/23/Lo/000034, Name=kay Baba Cement Store, Region=LO
Row 335: URN=DCP/25/Lo/002532, Name=Mr Steve Cement Pallet, Region=LO
Row 336: URN=DCP/24/Lo/000512, Name=Bolorunduro Cement Pallet, Region=LO
Row 337: URN=DCP/19/Lo/000482, Name=Alhaji Tanimola Cement Pallet, Region=LO
Row 338: URN=DCP/24/Lo/002729, Name=HW Mun Amidat Cement Pallet, Region=LO
Row 339: URN=DCP/25/Lo/002739, Name=Baba Chelsea Cement Pallet, Region=LO
Row 340: URN=DCP/19/LO/000485, Name=T&K Venture, Region=LO
Row 341: URN=DCP/19/LO/000016, Name=ASEORI OLABISI 3, Region=LO
Row 342: URN=DCP/25/LO/002410, Name=Iyabo Akintola Cement store, Region=LO
Row 343: URN=DCP/24/LO/000584, Name=A&G CEMENT STORE, Region=LO
Row 345: URN=DCP/19/LO/000037, Name=MOYOREX CEMENT STORE, Region=LO
Row 346: URN=DCP/25/LO/002728, Name=Fashola Sunday Cement Store, Region=LO
Row 348: URN=DCP/19/LO/000025, Name=MAJOR CEMENT STORE, Region=LO
Row 349: URN=DCP/24/LO/000582, Name=A&G CEMENT STORE 3, Region=LO
Row 350: URN=DCP/24/LO/000321, Name=MUM JAYJAY CEMENT STORE 2, Region=LO
Row 351: URN=DCP/25/LO/002519, Name=MR BAKARE CEMENT PALLET, Region=LO
Row 352: URN=DCP/25/LO/002838, Name=idowi oluwole Cement store, Region=LO
